Code,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone
P3USE,Useless Loop Public Library,Hackett Square,USELESS LOOP,WA,6537,Locked Bag 1000,DENHAM,WA,6537,9948 0261
P3VIC,Victoria Park Public Library,27 Sussex Street,EAST VICTORIA PARK,WA,6101,PO Box 1109,EAST VICTORIA PARK,WA,6981,9373 5500
P3VIN,Vincent Public Library,99 Loftus Street,LEEDERVILLE,WA,6007,"City of Vincent Library, P.O. BOX 82",LEEDERVILLE,WA,6902,9273 6090
P3AFB,VisAbility,61 Kitchener Avenue,VICTORIA PARK,WA,6100,PO Box 101,VICTORIA PARK,WA,6979,9311 8271
P3WAG,Wagin Public Library,,,,,Trent Street,WAGIN,WA,6315,9861 1247
P1WAL,Walpole Public Library,Pier Street,WALPOLE,WA,6398,Post Office,WALPOLE,WA,0,9840 1108
P3WDR,Wandering Public Library,,,,,18 Watts Street,WANDERING,WA,6308,9884 1561
P9WAN,Wanneroo Administration,3 Rocca Way,WANNEROO,WA,6065,Locked Bag 1,WANNEROO,WA,6946,9405 5947
P5WAN,Wanneroo Public Library,"Wanneroo Library &amp; Cultural Centre, 3 Rocca Way",WANNEROO,WA,6065,Locked Bag 1,WANNEROO,WA,6946,9405 5940
P5WBT,Warburton (Ngaanyatjarra),Ngaanyatjarra Community College,WARBURTON,WA,0,PMB via ALICE SPRINGS,NT 0871,WA,4444,8956 7531
P4WBO,Warnbro Community Library,,,,,Swallowtail Parade,WARNBRO,WA,6168,9528 8577
P1WAR,Waroona Public Library,Thatcher St,WAROONA,WA,6215,PO Box 20,WAROONA,WA,6215,9733 7822
P3WEL,Wellstead Public Library,,,,,Lot 49 Windsor Road,WELLSTEAD,WA,6328,98472078
P5WES,Westonia Public Library,,,,,Wolfram Street,WESTONIA,WA,6423,9046 7077
P5WHI,Whitford Public Library,,,,,Cnr Marmion & Banks Avenues,HILLARYS,WA,6025,9400 4870
P3WIK,Wickepin Public Library,24 Wogolin Road,WICKEPIN,WA,6370,PO Box 131,WICKEPIN,WA,6370,9888 1500
P2WIC,Wickham Public Library,Tamarind Place,WICKHAM,WA,6720,PO Box 126,WICKHAM,WA,6720,9187 1661
P2WIL,Willagee Public Library,Winnacott Street,WILLAGEE,WA,6156,Locked Bag 1,BOORAGOON  WA,WA,6954,9364 0170
P4WTN,Willetton Public Library,,,,,37 Burrendah Boulevarde,WILLETTON,WA,6155,9229 9540
P3WMS,Williams Public Library,Brooking Street,WILLIAMS,WA,6391,PO Box 96,WILLIAMS,WA,6391,9885 1378
P2WNA,Wiluna Public Library,Scotia Street,WILUNA,WA,6646,PO Box 38,WILUNA,WA,6646,9981 8000
P1WRS,Withers Public Library,Hudson Road,BUNBURY,WA,6230,PO Box 1981,BUNBURY,WA,6231,9792 7244
P4WON,Wongan Hills Public Library,2  Elphin Cresent,WONGAN HILLS,WA,6603,PO Box 255,WONGAN HILLS,WA,6603,9671 1691
P3WDN,Woodanilling Public Library,3316 Robinson Road,WOODANILLING,WA,6316,PO Box 99,WOODANILLING,WA,6316,9823 1506
P5WOD,Woodvale Public Library,,,,,5 Trappers Drive,WOODVALE,WA,6026,9400 4180
P4WUN,Wundowie Public Library,Boronia Avenue,WUNDOWIE,WA,6560,Care PO,WUNDOWIE,WA,6560,9573 6205
P4WYA,Wyalkatchem Public Library,Railway Terrace,WYALKATCHEM,WA,6485,,,,,9681 1500
P1WYN,Wyndham Public Library,990 Koolama Street,WYNDHAM,WA,6740,PO Box 614,KUNUNURRA,WA,6743,9161 1002
P2YAL,Yalgoo Public Library,,,,,37 Gibbons Street,YALGOO,WA,6635,9962 8042
P5YAN,Yanchep Public Library,"Lower Floor, Phil Renkin Recreation Centre, Lisford Avenue",TWO ROCKS,WA,6037,Locked Bag 1,WANNEROO,WA,6946,9561 1110
P1YAR,Yarloop Public Library,,,,,School Road,YARLOOP,WA,6218,9733 5240
P4YOR,York Public Library,Joaquina Street,YORK,WA,6302,PO Box 22,YORK,WA,6302,9641 2233
P2YUN,Yuna Public Library,,,,,Post Office,YUNA,WA,6532,9920 1096
