Code,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone
P3CON,Corrigin Public Library,"31 Walton Street, Corrigin Post Office",CORRIGIN,WA,6375,"31 Walton Street, Corrigin Post Office,",CORRIGIN,WA,6375,9063 2100
P3COT,Cottesloe/Peppermint Grove/Mosman Park Public Library,,,,,1 Leake Street,PEPPERMINT GROVE,WA,6011,9286 8686
P3CRA,Cranbrook Public Library,140 Climie Street,CRANBROOK,WA,6321,PO Box 137,CRANBROOK,WA,6321,9826 1234
P2CUE,Cue Public Library,Lot 2 Austin Street,CUE,WA,6640,P.O.Box 84,CUE,WA,6640,9963 8600
P4CUN,Cunderdin Public Library,57 Main Street,CUNDERDIN,WA,6407,57 Main Street,CUNDERDIN,WA,6407,9635 1784
P4DAL,Dalwallinu Public Library,Johnston Street,DALWALLINU,WA,6609,PO Box 141,DALWALLINU,WA,6609,9661 1805
P1DAP,Dalyellup Public Library,,,,,Shop 5/135 Norton Promenade,DALYELLUP,WA,6230,9795 7815
P2DAM,Dampier Public Library,High St.,DAMPIER,WA,6713,High Street,DAMPIER,WA,6713,9183 1562
P2DAN,Dandaragan Public Library,3468 Dandaragan Rd,DANDARAGAN,WA,6507,PO BOX 8,DANDARAGAN,WA,6507,9651 4056
P1DAD,Dardanup Public Library,,,,,3 Little Street,DARDANUP,WA,6236,9728 1422
P3DAR,Darkan Public Library,27 Burrowes St,DARKAN,WA,6392,27 Burrowes Street,DARKAN,WA,6392,9736 2000
P3DEN,Denmark Public Library,Strickland Street,DENMARK,WA,6333,Strickland Street,DENMARK,WA,6333,9848 3006
P1DER,Derby Public Library,Clarendon Street,DERBY,WA,6728,PO Box 94,DERBY,WA,6728,9191 0900
P1DIA,Dianella Public Library,,,,,"Dianella Plaza Shopping Centre, Waverley Street",DIANELLA,WA,6059,9205 7740
P2DON,Dongara Public Library,9 Waldeck Street,DONGARA,WA,6525,PO Box 21,DONGARA,WA,6525,9927 1859
P1DNY,Donnybrook Public Library,,,,,Emerald Street,DONNYBROOK,WA,6239,9731 0432
P4DOW,Dowerin Public Library,13 Stewart Street,DOWERIN,WA,6461,PO Box 14,DOWERIN,WA,6461,9631 1662
P3DUM,Dumbleyung Public Library,Harvey Street,DUMBLEYUNG,WA,6350,PO Box 99,DUMBLEYUNG,WA,6350,9863 4012
P5DUN,Duncraig Public Library,,,,,40 Warwick Road,DUNCRAIG,WA,6023,9447 9533
P1DNS,Dunsborough Public Library,"Naturaliste Community Centre, Dunsborough Lakes Dve",DUNSBOROUGH,WA,6281,Locked Bag 3,Dunsborough,WA,6281,9756 7111
P1EAT,Eaton Public Library,,,,,20 Recreation Drive,EATON,WA,6232,9724 4466
P5ELL,Ellenbrook Public Library,90 Main Street,ELLENBROOK,WA,6069,PO Box 2199,ELLENBROOK,WA,6069,9297 9600
P2ENE,Eneabba Public Library,Eneabba Drive,ENEABBA,WA,6518,PO Box 45,ENEABBA,WA,6518,9955 1058
P5ESP,Esperance Public Library,Windich Street,ESPERANCE,WA,6450,PO Box 507,ESPERANCE,WA,6450,9083 1500
P3EXM,Exmouth Public Library,Maidstone Crescent,EXMOUTH,WA,6707,PO Box 21,EXMOUTH,WA,6707,9949 1462
P1FAL,Falcon Public Library,Cnr Flavia Street and Cobblers Road,FALCON,WA,6210,PO Box 210,MANDURAH,WA,6210,9550 3230
P1FIT,Fitzroy Crossing Public Library,"Tourist Bureau, Flynn Dr ",FITZROY CROSSING,WA,6765,PO Box 101,FITZROY CROSSING,WA,6765,9191 5355
P5FOR,Forrestfield Public Library,,,,,3 Salix Way ,FORRESTFIELD,WA,6058,9257 9975
P3FRA,Frankland Public Library,,,,,55 Wingebellup Road,FRANKLAND RIVER,WA,6396,9855 2209
P4FRE,Fremantle City Library,Cnr William & Newman Streets,FREMANTLE,WA,6160,PO Box 807,FREMANTLE,WA,6959,9432 9766
P3GSC,Gascoyne Junction,5 Scott Street ,Gascoyne Junction,WA,6705,5 Scott Street,Gascoyne Junction,WA,6705,9943 0988
P2GER,Geraldton Regional Library,37 Marine Tce,GERALDTON,WA,6530,PO Box 101,GERALDTON,WA,6531,9956 6659
P4GIN,Gingin Public Library,1A Lily King Place,GINGIN,WA,6503,,,,,9575 1253
P5GIR,Girrawheen Public Library,6 Patrick Court,GIRRAWHEEN,WA,6064,Locked Bag 1,WANNEROO,WA,6946,9342 8844
P3GNO,Gnowangerup Public Library,,,,,Yougenup Road,GNOWANGERUP,WA,6335,9827 1635
P4GOO,Goomalling Public Library,51 - 53 Railway Terrace,GOOMALLING,WA,6460,PO Box 167,GOOMALLING,WA,6460,9629 1570
P9GOS,Gosnells Administration,2120 Albany Highway,GOSNELLS,WA,6110,P.O. Box 662,GOSNELLS,WA,6990,9397 3117
P4GOS,Gosnells Public Library,"The Agonis, 2232D Albany Highway",GOSNELLS,WA,6110,P.O. Box 662,GOSNELLS,WA,6990,9391 6000
P5GPH,Grass Patch Public Library,Grass Patch Primary School,GRASS PATCH,WA,6446,"Lot 67, Freeman Street",GRASS PATCH,WA,6446,9075 7042 (School)
P3GRA,Graylands Hospital Library,,,,,Brockway Road,CLAREMONT,WA,6010,9347 6683
P2GRH,Green Head Public Library,Greenhead Road,GREEN HEAD,WA,6514,Box 33,GREEN HEAD,WA,6514,9953 1255
P5GRE,Greenmount Public Library,,,,,4 Scott Street,GREENMOUNT,WA,6056,9290 6755
P5GUI,Guildford Public Library,,,,,97 James Street ,GUILDFORD,WA,6055,9378 1770
P1HAL,Halls Creek Public Library,71 Thomas Street,HALL'S CREEK,WA,6770,PO BOX 21,HALLS CREEK,WA,6770,9168 6007
P1HAR,Harvey Public Library,Young Street,HARVEY,WA,6220,P.O. Box 500,HARVEY,WA,6220,9729 1080
P5HIW,High Wycombe Public Library,,,,,Markham Road,HIGH WYCOMBE,WA,6057,9257 9974
P5HOP,Hopetoun Public Library,Unit 2 / 46 Veal Street,HOPETOUN,WA,6348,PO BOX 179,HOPETOUN,WA,6348,9838 3062
P3HYD,Hyden Public Library,McPherson Street,HYDEN,WA,6359,PO Box 4,HYDEN,WA,6359,9880 5160
P1ING,Inglewood Public Library,,,,,"Inglewood Civic Centre, 895 Beaufort Street",INGLEWOOD,WA,6052,9205 7700
P3JER,Jerramungup Public Library,8-10 Tobruk Street,JERRAMUNGUP,WA,6337,Po Box 76,JERRAMUNGUP,WA,0,9835 1630
P9JOO,Joondalup Administration,,,,,"PO Box 21, JOONDALUP",,WA,6919,9400 4233 Mob: 
P5JOO,Joondalup Public Library,102 Boas Ave,JOONDALUP,WA,6027,PO Box 21,JOONDALUP,WA,6919,9400 4707
